2026-05-21 06:27:07  INFO  ========================================================================
2026-05-21 06:27:07  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1/data.yaml
2026-05-21 06:27:07  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1/train-20260521-062707.log
2026-05-21 06:27:07  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 06:27:07  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 06:35:39  INFO  epoch  87/100  mAP50=0.9950  mAP50-95=0.9031  P=0.9774  R=0.9938
2026-05-21 06:35:45  INFO  epoch  88/100  mAP50=0.9950  mAP50-95=0.8818  P=0.9821  R=0.9975
2026-05-21 06:35:50  INFO  epoch  89/100  mAP50=0.9950  mAP50-95=0.8929  P=0.9810  R=0.9956
2026-05-21 06:35:55  INFO  epoch  90/100  mAP50=0.9950  mAP50-95=0.8921  P=0.9906  R=0.9879
2026-05-21 06:35:55  INFO  early stopping triggered at epoch 90 (best epoch 70)
2026-05-21 06:35:58  INFO  epoch  90/100  mAP50=0.9950  mAP50-95=0.9106  P=0.9858  R=0.9962
2026-05-21 06:35:58  INFO  early stopping triggered at epoch 90 (best epoch 70)
2026-05-21 06:35:58  INFO  training finished -- best weights: /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1/weights/best.pt
2026-05-21 06:35:59  INFO  training complete -- running final validation on the test split
2026-05-21 06:35:59  INFO  ========================================================================
